,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Arable (%),Birthrate,Deathrate,Temp C° 1961-1990,Country Code,precipitation mm/y 1992,precipitation mm/y 2002,precipitation mm/y 2014,renewable freshwater m3/capita 1992,renewable freshwater m3/capita 2002,renewable freshwater m3/capita 2014,annual water withdraw % 2002
0,Afghanistan,ASIA,31056997,647500,48.0,700.0,36.0,12.13,46.6,20.34,12.6,AFG,327.0,327.0,327.0,3254.96878060378,2086.21210693264,1412.91214107761,43.01166489925771
1,Albania,EASTERN EUROPE,3581655,28748,124.6,4500.0,86.5,21.09,15.11,5.22,11.4,ALB,1485.0,1485.0,1485.0,8284.470867150041,8816.75248524259,9310.84516168334,6.83271375464684
2,Algeria,NORTHERN AFRICA,32930091,2381740,13.8,6000.0,70.0,3.22,17.14,4.61,22.5,DZA,89.0,89.0,89.0,416.229995153973,353.161560363834,289.027090367878,50.72
3,American Samoa,OCEANIA,57794,199,290.4,8000.0,97.0,10.0,22.46,3.27,,ASM,,,,,,,
4,Andorra,WESTERN EUROPE,71201,468,152.1,19000.0,100.0,2.22,8.71,6.25,7.6,AND,,,,5359.32617850836,4505.417636226071,3984.19451352682,
5,Angola,SUB-SAHARAN AFRICA,12127071,1246700,9.7,1900.0,42.0,2.41,45.11,24.2,21.55,AGO,1010.0,1010.0,1010.0,11692.796115716299,8447.7696946194,5493.32692544171,0.43270270270270295
6,Anguilla,LATIN AMER. & CARIB,13477,102,132.1,8600.0,95.0,0.0,14.17,5.34,,,,,,,,,
7,Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,156.0,11000.0,89.0,18.18,16.93,5.37,,,,,,,,,
8,Argentina,LATIN AMER. & CARIB,39921833,2766890,14.4,11200.0,97.1,12.31,16.73,7.55,14.8,ARG,591.0,591.0,591.0,8708.79420600342,7749.10952249058,6843.29556240406,
9,Armenia,C.W. OF IND. STATES,2976372,29800,99.9,3500.0,98.6,17.55,12.07,8.23,7.15,ARM,562.0,562.0,562.0,1992.2638932014106,2260.7283243319503,2355.0998951724696,25.266073771686802
10,Aruba,LATIN AMER. & CARIB,71891,193,372.5,28000.0,97.0,10.53,11.03,6.68,,ABW,,,,,,,
11,Australia,OCEANIA,20264082,7686850,2.6,29000.0,100.0,6.55,12.14,7.51,21.65,AUS,534.0,534.0,534.0,28122.3206630466,25036.384176191,20957.8540111671,4.36991869918699
12,Austria,WESTERN EUROPE,8192880,83870,97.7,30000.0,98.0,16.91,8.74,9.76,6.35,AUT,1110.0,1110.0,1110.0,7014.67175991355,6805.28243345021,6435.49133689259,6.6654545454545495
13,Azerbaijan,C.W. OF IND. STATES,7961619,86600,91.9,3400.0,97.0,19.63,20.74,9.75,11.95,AZE,447.0,447.0,447.0,1099.29558385261,993.0310391032739,851.0679355671831,124.091189155884
14,"Bahamas, The",LATIN AMER. & CARIB,303770,13940,21.8,16700.0,95.6,0.8,17.57,9.05,,BHS,1292.0,1292.0,1292.0,2631.29207717956,2275.23890008451,1888.6607506617106,
15,Bahrain,NEAR EAST,698585,665,1050.5,16900.0,89.1,2.82,17.8,4.14,27.15,BHR,83.0,83.0,83.0,7.6469261268701505,5.4410960543892015,2.99384390846322,
16,Bangladesh,ASIA,147365352,144000,1023.4,1900.0,43.1,62.11,29.8,8.27,25.0,BGD,2666.0,2666.0,2666.0,972.368941891454,792.5839145955051,679.522951848738,
17,Barbados,LATIN AMER. & CARIB,279912,431,649.5,15700.0,97.4,37.21,12.71,8.67,26.0,BRB,1422.0,1422.0,1422.0,304.31441765632303,292.584803876749,280.874221012903,
18,Belarus,C.W. OF IND. STATES,10293011,207600,49.6,6100.0,99.6,29.55,11.16,14.02,6.15,BLR,618.0,618.0,618.0,3328.11276429131,3446.336686010751,3588.57570591242,5.4029411764705895
19,Belgium,WESTERN EUROPE,10379067,30528,340.0,29100.0,98.0,23.28,10.38,10.27,9.55,BEL,847.0,847.0,847.0,1194.60540093048,1161.3519491598802,1070.56284931016,56.125
20,Belize,LATIN AMER. & CARIB,287730,22966,12.5,4900.0,94.1,2.85,28.84,5.72,25.3,BLZ,1705.0,1705.0,1705.0,78528.6428850785,58160.36405491309,43184.6866987769,0.6618610747051109
21,Benin,SUB-SAHARAN AFRICA,7862944,112620,69.8,1100.0,40.9,18.08,38.85,12.22,27.55,BEN,1039.0,1039.0,1039.0,1931.8043070983701,1411.84972326375,1001.27910975983,1.2621359223301
22,Bermuda,NORTHERN AMERICA,65773,53,1241.0,36000.0,98.0,20.0,11.4,7.74,,BMU,,,,,,,
23,Bhutan,ASIA,2279723,47000,48.5,1300.0,42.2,3.09,33.65,12.7,7.4,BTN,2200.0,2200.0,2200.0,177730.88176967602,131489.664263057,108475.556841192,
24,Bolivia,LATIN AMER. & CARIB,8989046,1098580,8.2,2400.0,87.2,2.67,23.3,7.53,21.55,BOL,1146.0,1146.0,1146.0,42382.82231891991,34714.2235897961,28347.220669429702,
25,Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,88.0,6100.0,,13.6,8.77,8.27,,,,,,,,,
26,Botswana,SUB-SAHARAN AFRICA,1639833,600370,2.7,9000.0,79.8,0.65,23.08,29.5,21.5,BWA,416.0,416.0,416.0,1760.1063104211498,1407.92025539673,1149.0873852229304,8.08333333333333
27,Brazil,LATIN AMER. & CARIB,188078227,8511965,22.1,7600.0,86.4,6.96,16.56,6.17,24.95,BRA,1761.0,1761.0,1761.0,36697.9304597231,31531.0136844934,27919.193735507,
28,British Virgin Is,LATIN AMER. & CARIB,23098,153,151.0,16000.0,97.8,20.0,14.89,4.42,,,,,,,,,
29,Brunei,ASIA,379444,5770,65.8,18600.0,93.9,0.57,18.79,3.45,26.85,,,,,,,,
30,Bulgaria,EASTERN EUROPE,7385367,110910,66.6,7600.0,98.6,40.02,9.65,14.27,10.55,BGR,608.0,608.0,608.0,2458.96917202058,2679.5417371162807,2907.0016935361305,31.3761904761905
31,Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,50.7,1100.0,26.6,14.43,45.62,15.6,28.25,BFA,748.0,748.0,748.0,1344.5033958391198,1016.83057975612,710.79198888526,5.7256
32,Burma,ASIA,47382633,678500,69.8,1800.0,85.3,15.19,17.91,9.83,,,,,,,,,
33,Burundi,SUB-SAHARAN AFRICA,8090068,27830,290.7,600.0,51.6,35.05,42.22,13.46,19.8,BDI,1274.0,1274.0,1274.0,1769.3931913538895,1500.5713656676098,1021.91146813226,2.8628230616302206
34,Cambodia,ASIA,13881427,181040,76.7,1900.0,69.4,20.96,26.9,9.06,26.8,KHM,1904.0,1904.0,1904.0,12531.3166018436,9542.855293519158,7895.5105773327,
35,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.5,1800.0,79.0,12.81,33.89,13.47,24.6,CMR,1604.0,1604.0,1604.0,21840.8753822853,16689.4878601399,12036.0510148684,0.353992673992674
36,Canada,NORTHERN AMERICA,33098932,9984670,3.3,29800.0,97.0,4.96,10.78,7.8,-5.35,CAN,537.0,537.0,537.0,100453.754897914,90879.8731023605,80423.42793715179,
37,Cape Verde,SUB-SAHARAN AFRICA,420979,4033,104.4,1400.0,76.6,9.68,24.87,6.55,23.3,,,,,,,,
38,Cayman Islands,LATIN AMER. & CARIB,45436,262,173.4,35000.0,98.0,3.85,12.74,4.89,,CYM,,,,,,,
