Country Name,Country Code,Series Name,Series Code,1984 [YR1984],1988 [YR1988],1992 [YR1992],1998 [YR1998],2002 [YR2002],2006 [YR2006],2010 [YR2010],2014 [YR2014],2018 [YR2018]
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,327,..,327,..,..,327,..
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1485,..,1485,..,..,1485,..
Algeria,DZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,89,..,89,..,..,89,..
American Samoa,ASM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Andorra,AND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Angola,AGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1010,..,1010,..,..,1010,..
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1030,..,1030,..,..,1030,..
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,591,..,591,..,..,591,..
Armenia,ARM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,562,..,562,..,..,562,..
Aruba,ABW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Australia,AUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,534,..,534,..,..,534,..
Austria,AUT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1110,..,1110,..,..,1110,..
Azerbaijan,AZE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,447,..,447,..,..,447,..
"Bahamas, The",BHS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1292,..,1292,..,..,1292,..
Bahrain,BHR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,83,..,83,..,..,83,..
Bangladesh,BGD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2666,..,2666,..,..,2666,..
Barbados,BRB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1422,..,1422,..,..,1422,..
Belarus,BLR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,618,..,618,..,..,618,..
Belgium,BEL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,847,..,847,..,..,847,..
Belize,BLZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1705,..,1705,..,..,1705,..
Benin,BEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1039,..,1039,..,..,1039,..
Bermuda,BMU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2200,..,2200,..,..,2200,..
Bolivia,BOL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1146,..,1146,..,..,1146,..
Bosnia and Herzegovina,BIH,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1028,..,1028,..,..,1028,..
Botswana,BWA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,416,..,416,..,..,416,..
Brazil,BRA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1761,..,1761,..,..,1761,..
British Virgin Islands,VGB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2722,..,2722,..,..,2722,..
Bulgaria,BGR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,608,..,608,..,..,608,..
Burkina Faso,BFA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,748,..,748,..,..,748,..
Burundi,BDI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1274,..,1274,..,..,1274,..
Cabo Verde,CPV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,228,..,228,..,..,228,..
Cambodia,KHM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1904,..,1904,..,..,1904,..
Cameroon,CMR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1604,..,1604,..,..,1604,..
Canada,CAN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,537,..,537,..,..,537,..
Cayman Islands,CYM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1343,..,1343,..,..,1343,..
Chad,TCD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,322,..,322,..,..,322,..
Channel Islands,CHI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..
Chile,CHL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1522,..,1522,..,..,1522,..
China,CHN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,645,..,645,..,..,645,..
Colombia,COL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,3240,..,3240,..,..,3240,..
Comoros,COM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,900,..,900,..,..,900,..
"Congo, Dem. Rep.",COD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1543,..,1543,..,..,1543,..
"Congo, Rep.",COG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1646,..,1646,..,..,1646,..
Costa Rica,CRI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,2926,..,2926,..,..,2926,..
Cote d'Ivoire,CIV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1348,..,1348,..,..,1348,..
Croatia,HRV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,1113,..,1113,..,..,1113,..
