,Country Name,Country Code,Series Name,Series Code,1984 [YR1984],1988 [YR1988],1992 [YR1992],1998 [YR1998],2002 [YR2002],2006 [YR2006],2010 [YR2010],2014 [YR2014],2018 [YR2018]
0,Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,43.01166489925771,,,,
1,Albania,ALB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,4.4609665427509295,,6.83271375464684,,,,
2,Algeria,DZA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,39.4311111111111,,50.72,,,69.4222222222222,
3,American Samoa,ASM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
4,Andorra,AND,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
5,Angola,AGO,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,0.43270270270270295,,,,
6,Antigua and Barbuda,ATG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,3.26923076923077,,,,,8.46153846153846,
7,Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,12.9075342465753,
8,Armenia,ARM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,25.266073771686802,,,42.8779705496428,
9,Aruba,ABW,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
10,Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,4.36991869918699,,,3.1402439024390203,
11,Austria,AUT,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,6.91818181818182,,6.6654545454545495,,,6.34909090909091,
12,Azerbaijan,AZE,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,124.091189155884,,,147.504621072089,
13,"Bahamas, The",BHS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
14,Bahrain,BHR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,4672.5,,,,,,
15,Bangladesh,BGD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
16,Barbados,BRB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
17,Belarus,BLR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,5.4029411764705895,,,4.452941176470589,
18,Belgium,BEL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,56.125,,,,
19,Belize,BLZ,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,0.6618610747051109,,,,
20,Benin,BEN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,1.2621359223301,,,,
21,Bermuda,BMU,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
22,Bhutan,BTN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
23,Bolivia,BOL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
24,Bosnia and Herzegovina,BIH,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,0.923661971830986,
25,Botswana,BWA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,4.70833333333333,,8.08333333333333,,,,
26,Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,1.3209680268503798,
27,British Virgin Islands,VGB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
28,Brunei Darussalam,BRN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,0.8941176470588241,,,,,,
29,Bulgaria,BGR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,35.6857142857143,,31.3761904761905,,,27.214285714285698,
30,Burkina Faso,BFA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,3.008,,5.7256,,,,
31,Burundi,BDI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,2.8628230616302206,,,,
32,Cabo Verde,CPV,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,6.76666666666667,,,,
33,Cambodia,KHM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
34,Cameroon,CMR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,0.146520146520147,,0.353992673992674,,,,
35,Canada,CAN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,1.5821052631578898,,,,,,
36,Cayman Islands,CYM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
37,Central African Republic,CAF,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,0.0469503546099291,,,,
38,Chad,TCD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,5.66133333333333,,,,
39,Channel Islands,CHI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
40,Chile,CHL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,2.29265536723164,,,,,,
41,China,CHN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,17.7746178457163,,19.5449697831497,,,21.3224315677213,
42,Colombia,COL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,0.361118881118881,,,,
43,Comoros,COM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,0.833333333333333,,,,
44,"Congo, Dem. Rep.",COD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,0.0649,,,,
45,"Congo, Rep.",COG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,0.0207207207207207,,,,
46,Costa Rica,CRI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,2.07699115044248,
47,Cote d'Ivoire,CIV,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,1.4315460697553402,,1.83368037480479,,,,
48,Croatia,HRV,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,1.68116710875332,
49,Cuba,CUB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,18.255508919202498,
50,Curacao,CUW,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,
51,Cyprus,CYP,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,28.5897435897436,,21.884615384615397,,,28.4358974358974,
52,Czech Republic,CZE,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,14.5095057034221,,,12.5475285171103,
53,Denmark,DNK,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,20.766666666666698,,10.881666666666698,,,10.6166666666667,
54,Djibouti,DJI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,6.26666666666667,,,,
55,Dominica,DMA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,8.3,,,10.0,
56,Dominican Republic,DOM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,20.7021276595745,,,30.370212765957397,
57,Ecuador,ECU,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,2.1173146473779396,,,,
58,"Egypt, Arab Rep.",EGY,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,3168.3333333333303,,,4100.0,
59,El Salvador,SLV,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,4.66346769033909,,8.803582853486882,,,,
